"geoid_msa","year","tot_pop","pct_pop_foreign","pct_labor","pct_emp","pct_drove_alone","pct_carpooled","pct_transit","pct_fam_pov","pct_pers_pov","pct_hh_no_vehicle","pct_white","pct_black","pct_asian","pct_hisp","pct_unemp","med_hh_inc","pop_chg"
"12060",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12060",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12060",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12060",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12060",2010,5462483,12.8886625367987,52.976915443032,90.832562384196,77.493343301938,10.9987470350022,3.29586373083449,10.3685884056756,12.9896914827927,2.21280322519997,58.4623818508909,30.8223558956614,4.46713855219321,9.59960686376507,9.13792722648106,60230.5581854043,0
"12060",2011,5555067,12.9351635182798,52.8081299469475,89.724262888763,77.4849609914696,10.9899044061935,3.20839340011561,11.1344741116534,13.8724875865584,2.17975768789107,58.142847998053,31.0736464204662,4.54746432401265,9.89994716535372,10.2335954052954,60599.4072978304,0.0169490687659806
"12060",2012,5637561,12.9323301335453,52.5301455718173,88.8717421246679,77.5496399240736,10.8585217082352,3.16235950262889,12.0245894811604,14.8466388922444,2.17941765951623,57.9244431767568,31.3008680526916,4.65140457016784,10.0876585459563,11.0258731738628,60350.8756169793,0.0320509921953075
"12060",2013,5711036,12.8921792823579,52.0436747378234,88.3000878682988,77.8355772227666,10.6009833067065,3.09143598464447,12.5859981446449,15.6283353318032,2.15789219329032,57.7840978064225,31.4962721299603,4.76401367457673,10.1646506693357,11.6015236781877,59884.5745310958,0.0455018349713857
"12060",2014,5789577,12.8357218498001,51.6691806672577,88.994671874169,77.8746223601482,10.5147456368574,3.0655429058116,12.8381974192588,15.9297155906209,2.17908838590453,57.566228810844,31.767091689082,4.91413797588321,10.2254279025912,10.9083607653485,60183.7114624506,0.0598800948213477
"12060",2015,5873945,12.9386979278832,51.5241460381396,90.2839063529261,78.0261745726254,10.3241668078268,2.99534420223547,12.7626048081826,15.7293589742498,2.15979209883647,57.2398194909895,31.9607125194397,5.06835579836039,10.241995234889,9.62305566323171,60643.2309970385,0.0753250856799005
"12420",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12420",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12420",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12420",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12420",2010,1794990,13.6716081983744,54.7038145059304,93.3955283697669,74.8866597585502,12.3970732984585,2.31975141922796,10.4051040395768,14.1715044652059,1.87488509685291,72.7559161332375,7.23049788578209,4.35421807363829,30.3589169856099,6.6044716302331,61394.8298969072,0
"12420",2011,1856720,13.643898918523,54.583189710888,92.8959370775334,74.7356480244732,12.0566893231074,2.30353418932311,10.7982316665949,14.3446002628291,1.85601490800982,74.1389308027058,7.19153006376837,4.3917932159938,30.7533377676763,7.10303961254368,63417.7680412371,0.0343901637335027
"12420",2012,1910913,13.784614998171,54.4729142561697,92.4671679540481,74.921988285181,11.6328025399377,2.2387573374612,11.4556250860191,14.9763461758856,1.82834069368935,76.3810926504765,7.18240976957088,4.45973259902465,31.0108297447346,7.52247050672958,63568.1443298969,0.0645814182808818
"12420",2013,1966323,13.8210253351052,54.4283924868905,92.3352308054705,75.7688312652601,11.0540749917486,2.12324841849483,11.3764765503938,15.0965756897519,1.75225535174028,77.8002724882941,7.07573903168503,4.51897806209865,31.215864077265,7.65408936217237,64195.6211340206,0.095450671034379
"12420",2014,2025992,13.9148130890941,54.0826913433025,93.0084116041526,75.9463808346726,10.9623530102784,2.11836887806072,11.5106188474584,15.2018487733417,1.72108280782945,78.9687288992257,6.98796762277442,4.63273769096818,31.4457102002377,6.98053208368034,65177,0.128692638956206
"12420",2015,2084578,14.0245171924485,54.161177945848,93.8066550380115,76.4185330556113,10.6641850772674,2.10642211517151,10.9597500309415,14.6145965274506,1.68849522541253,79.0987171024543,7.01121248521283,4.74638089819618,31.6283356631414,6.19334496198854,66563.7448453608,0.161331260898389
"12580",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12580",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12580",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12580",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12580",2010,3335077,8.55416531612314,53.8419052993379,93.0873040016064,75.341890277196,9.86528937712682,6.47249056018797,6.54703306700265,9.13489454666264,3.6574268000409,65.8550397187231,26.1125585106431,4.15203559018278,4.20809666463473,6.64757468335349,72229.3239263804,0
"12580",2011,3350519,8.78962333895137,54.0754730834238,92.3774892916222,75.3813524113727,9.91381487465076,6.54486827264671,6.76049313554109,9.52324311546957,3.67596781274782,65.6670929488834,26.0432846075489,4.32969963757854,4.41301735641553,7.37914542676023,74399.8429447853,0.00463017795391231
